pa_ccs_metric,behavior,expected_sign,pearson_r,spearman_rho,x_cv,verdict,reading
best_acc,coherent_rate,+,0.81,0.77,0.15,consistent,separability ⇒ coherent output
best_acc,harmful_rate_coherent,−,-0.04,-0.31,0.15,weakly consistent,separability ⇒ safer output
mean_acc,harmful_rate_coherent,−,0.0,-0.2,0.12,inconsistent,separability ⇒ safer output
max_silhouette,harmful_rate_coherent,−,-0.13,-0.09,0.17,weakly consistent,cluster separation ⇒ safer output
polar_consistency_absmean,harmful_rate_coherent,+,-0.54,-0.26,0.64,inconsistent,poor polarity ⇒ more harm
polar_consistency_absmean,neg_flip_rate,+,0.23,0.14,0.64,weakly consistent,poor latent polarity ⇒ behavioral negation flip
mean_contradiction_idx,harmful_rate_coherent,+,-0.01,0.03,0.04,uninformative (≈constant across models),more contradiction ⇒ more harm
