model,params,best_acc,mean_acc,max_silhouette,polar_consistency_absmean,mean_contradiction_idx,coherent_rate,harmful_rate,harmful_rate_coherent,neg_flip_rate
OLMo-1B base,1B,0.69,0.618,0.43,0.119,0.488,0.008,0.0,0.0,0.0
OLMo-2-1B base,1B,0.668,0.596,0.386,0.136,0.458,0.495,0.076,0.153,0.053
OLMo-2-1B instruct,1B,0.888,0.633,0.318,0.106,0.516,0.971,0.035,0.036,0.068
Gemma-3-1B base,1B,0.845,0.701,0.322,0.014,0.502,0.356,0.285,0.801,0.023
Gemma-3-1B instruct,1B,0.936,0.773,0.271,0.036,0.514,0.959,0.034,0.035,0.047
Qwen3-4B instruct,4B,0.957,0.792,0.319,0.052,0.502,0.998,0.002,0.002,0.005
