model,params,n_layers,best_acc,best_layer,best_layer_frac,mean_acc,n_high,mean_acc_across_best,n_high_percentage,high_frac_mean,high_frac_min,high_frac_max
OLMo-1B base,1B,17,0.69,8,0.5,0.618,3,0.677,18,0.438,0.375,0.5
OLMo-2-1B base,1B,17,0.668,15,0.938,0.596,2,0.655,12,0.875,0.812,0.938
OLMo-2-1B instruct,1B,17,0.888,16,1.0,0.633,3,0.875,18,0.875,0.688,1.0
Gemma-3-1B base,1B,27,0.845,17,0.654,0.701,3,0.831,11,0.705,0.654,0.769
Gemma-3-1B instruct,1B,27,0.936,14,0.538,0.773,14,0.924,52,0.75,0.5,1.0
Qwen3-4B instruct,4B,37,0.957,21,0.583,0.792,18,0.951,49,0.764,0.528,1.0
Qwen3-8B base,8B,37,0.968,24,0.667,0.785,15,0.962,41,0.804,0.583,1.0
