model,family,variant,params,n_layers,best_acc,best_layer,best_layer_frac,mean_acc,max_silhouette,mean_contradiction_idx,polar_consistency_absmean
OLMo-1B base,olmo,base,1B,17,0.69,8,0.5,0.618,0.43,0.488,0.119
OLMo-2-1B base,olmo2,base,1B,17,0.668,15,0.938,0.596,0.386,0.458,0.136
OLMo-2-1B instruct,olmo2,instruct,1B,17,0.888,16,1.0,0.633,0.318,0.516,0.106
Gemma-3-1B base,gemma3,base,1B,27,0.845,17,0.654,0.701,0.322,0.502,0.014
Gemma-3-1B instruct,gemma3,instruct,1B,27,0.936,14,0.538,0.773,0.271,0.514,0.036
Gemma-4-E2B base,gemma4,base,E2B,36,0.936,17,0.486,0.694,0.428,0.451,0.044
Qwen3-4B instruct,qwen3,instruct,4B,37,0.957,21,0.583,0.792,0.319,0.502,0.052
Qwen3-8B base,qwen3,base,8B,37,0.968,24,0.667,0.785,0.246,0.503,0.045
