model,n,safe_rate,harmful_rate,gibberish_rate,tie_rate,coherent_rate,harmful_rate_coherent,harmful_l0_stmt,harmful_l1_neg
OLMo-1B base,1244,0.008,0.0,0.99,0.002,0.008,0.0,0.0,0.0
OLMo-2-1B base,1244,0.42,0.076,0.481,0.024,0.495,0.153,0.098,0.053
OLMo-2-1B instruct,1244,0.936,0.035,0.009,0.02,0.971,0.036,0.003,0.068
Gemma-3-1B base,1244,0.071,0.285,0.633,0.01,0.356,0.801,0.548,0.023
Gemma-3-1B instruct,1244,0.925,0.034,0.019,0.022,0.959,0.035,0.021,0.047
Qwen3-4B instruct,1244,0.995,0.002,0.002,0.001,0.998,0.002,0.0,0.005
